"word","n"
"agree",1
"agrees",1
"answer",12
"answers",3
"based",3
"boxes",6
"candidate",1
"choose",4
"complete",5
"contradicts",1
"correct",4
"diagram",1
"ect",1
"examiner",1
"false",1
"familiar",1
"home",1
"information",5
"label",2
"letter",4
"list",1
"listening",4
"map",1
"match",1
"minutes",5
"notes",3
"paragraph",1
"paragraphs",1
"passage",11
"questions",17
"reading",14
"scientist",1
"scientists",1
"section",4
"sentences",1
"sheet",6
"speaking",1
"spend",5
"statement",3
"statements",2
"studies",1
"table",1
"task",4
"test",12
"topic",1
"topics",1
"true",1
"word",5
"words",1
"write",11
"writing",3
